project_id,id,name,description,issue_type,status,priority,assignee,story_points,sprint,tags,full_text,ai_score_1,ai_score_2,ai_score_3,priority_weight,severity_weight,user_value,time_criticality,risk_reduction,cost_of_delay,WSJF,sev_numeric,ai_cluster,moscow_category,is_bug,severity_rank,priority_rank
10405,PTP-18,OAuth2 Multi-Provider Login Feature,"Implement secure login via Google, Microsoft, and GitHub.",feature,todo,high,,3,,auth;oauth2;feature,"OAuth2 Multi-Provider Login Feature. Implement secure login via Google, Microsoft, and GitHub.. auth;oauth2;feature",9.745189,10.0,4.2356014,2.0,1.0,9.74518964649754,10.0,4.235601425170898,23.98079107166844,7.993597023889479,1,2,Must Have,False,99,1
10405,PTP-21,Implement feature flag system,Add runtime feature flags safely.,story,todo,high,,3,,backend;feature-flags,Implement feature flag system. Add runtime feature flags safely.. backend;feature-flags,6.61181,6.9100385,10.0,2.0,1.0,6.6118108917721825,6.910038471221924,10.0,23.521849362994107,7.840616454331369,1,2,Must Have,False,99,2
10405,PTP-1,User Authentication & Security Epic,"Complete authentication system including OAuth2, rate limiting, and security scans.",story,todo,high,,3,,security;auth;epic,"User Authentication & Security Epic. Complete authentication system including OAuth2, rate limiting, and security scans.. security;auth;epic",9.999999,9.305353,3.9200883,2.0,1.0,10.0,9.305353164672852,3.920088291168213,23.225441455841064,7.7418138186136884,1,2,Must Have,False,99,3
10405,PTP-14,Security vulnerability scan,Perform SAST/DAST scans.,story,todo,high,,3,,security;qa,Security vulnerability scan. Perform SAST/DAST scans.. security;qa,6.947256,7.159239,7.929976,2.0,1.0,6.947256799320921,7.159238815307617,7.929975986480713,22.036471601109252,7.345490533703084,1,2,Must Have,False,99,4
10405,PTP-9,High-level system architecture design,Design system components.,story,todo,high,,3,,architecture,High-level system architecture design. Design system components.. architecture,4.067124,7.145181,9.415703,2.0,1.0,4.06712437209482,7.145181179046631,9.415702819824219,20.62800837096567,6.87600279032189,1,0,Should Have,False,99,5
10405,PTP-17,Optimize database queries,Add indexing and caching.,story,todo,high,,3,,database;performance,Optimize database queries. Add indexing and caching.. database;performance,6.192572,6.964516,6.467619,2.0,1.0,6.1925727679389935,6.9645161628723145,6.467618942260742,19.62470787307205,6.541569291024017,1,0,Should Have,False,99,6
10405,PTP-15,Improve API rate limiting,Add throttling and quotas.,story,todo,high,,3,,backend;security,Improve API rate limiting. Add throttling and quotas.. backend;security,7.7260017,7.727318,4.0846934,2.0,1.0,7.726002512455187,7.727317810058594,4.084693431854248,19.53801375436803,6.51267125145601,1,0,Should Have,False,99,7
10405,PTP-23,Analytics dashboard enhancements,Add cohort filtering and real-time updates.,story,todo,high,,3,,frontend;analytics,Analytics dashboard enhancements. Add cohort filtering and real-time updates.. frontend;analytics,6.3009343,7.5412364,5.180857,2.0,1.0,6.300934974426824,7.541236400604248,5.180857181549072,19.023028556580144,6.341009518860048,1,0,Should Have,False,99,8
10405,PTP-24,User feedback module,Add in-app feedback and sentiment pipeline.,story,todo,high,,3,,frontend;backend,User feedback module. Add in-app feedback and sentiment pipeline.. frontend;backend,5.957407,7.054974,5.3850574,2.0,1.0,5.957407630078604,7.05497407913208,5.38505744934082,18.397439158551506,6.1324797195171685,1,0,Should Have,False,99,9
10405,PTP-22,Data export API,Provide export endpoints for data.,story,todo,high,,3,,backend;api,Data export API. Provide export endpoints for data.. backend;api,6.944704,7.507756,3.83528,2.0,1.0,6.9447047666474,7.507756233215332,3.835279941558838,18.28774094142157,6.095913647140524,1,0,Should Have,False,99,10
