priority_rank,id,name,description,issue_type,priority,status,story_points,WSJF,moscow_category,assignee
1,TAM-202,Optimize database queries,Add indexing and caching.,change,high,todo,6.0,3.0884479274635326,Should Have,
2,TAM-208,Analytics dashboard enhancements,Add cohort filtering and real-time updates.,story,high,todo,8.0,2.3961442324622633,Should Have,
3,TAM-209,User feedback module,Add in-app feedback and sentiment pipeline.,story,high,todo,10.0,2.2746123845318595,Should Have,
4,TAM-200,Improve API rate limiting,Add throttling and quotas.,change,high,todo,12.0,2.054120182991028,Should Have,
5,TAM-196,Create initial product backlog,Break down requirements into stories.,change,high,todo,9.0,1.8900209297737203,Could Have,
6,TAM-216,End-to-end testing for checkout flow,Automate checkout flow tests.,change,high,todo,12.0,1.5208705190264251,Won't Have (This Sprint),
7,TAM-193,Technology stack selection,Select system technology stack.,change,high,todo,8.0,1.253007047394293,Must Have,
8,TAM-197,Define coding standards and guidelines,Establish development standards.,change,medium,todo,3.0,6.5009870529174805,Must Have,
9,TAM-215,Accessibility improvements,Ensure WCAG compliance.,change,medium,todo,3.0,6.4424463478908365,Must Have,
10,TAM-211,Continuous localization support,Add multi-language support.,story,medium,todo,8.0,2.7300509212339574,Should Have,
11,TAM-205,Centralized Logging System Feature,Standardize structured logging and ELK integration.,story,medium,todo,9.0,1.8509031869579762,Could Have,
12,TAM-192,Initial risk assessment,Identify risks and mitigation plans.,change,medium,todo,10.0,1.6052570491571747,Must Have,
13,TAM-210,Refactor frontend state management,Migrate from Redux to Zustand.,story,medium,todo,13.0,1.5208449360205891,Could Have,
14,TAM-212,Feature rollout metrics,Track adoption and usage metrics.,story,medium,todo,10.0,1.4977413960229677,Should Have,
15,TAM-213,User session analytics,Visualize session durations and retention.,story,medium,todo,12.0,1.4209913775946579,Should Have,
