priority_rank,id,name,description,issue_type,priority,status,story_points,WSJF,moscow_category,assignee
1,AFV-256,Environment setup (Dev/Staging),Provision dev and staging environments.,story,high,todo,3,7.834109055374628,Must Have,
2,AFV-262,Refactor CI/CD pipeline for microservices,Improve deployment speed.,story,high,todo,3,7.025104904213239,Must Have,
3,AFV-265,CI/CD Pipeline Modernization Feature,Refactor pipeline for microservices with parallel jobs.,feature,high,todo,3,7.015006065368652,Must Have,
4,AFV-264,OAuth2 Multi-Provider Login Feature,"Implement secure login via Google, Microsoft, and GitHub.",feature,high,todo,3,6.689345592598877,Must Have,
5,AFV-250,Project kickoff meeting preparation,Prepare agenda and stakeholder overview.,story,high,todo,3,6.555496849772571,Must Have,
6,AFV-248,DevOps & Infrastructure Modernization Epic,"Improve CI/CD, logging, automation, and infrastructure stability.",story,high,todo,3,6.543472544247874,Must Have,
7,AFV-277,End-to-end testing for checkout flow,Automate checkout flow tests.,story,high,todo,3,6.4516879119126,Must Have,
8,AFV-268,Data export API,Provide export endpoints for data.,story,high,todo,3,6.237249705344579,Must Have,
9,AFV-259,Project timeline and roadmap creation,Develop milestone roadmap.,story,high,todo,3,6.213311332478955,Must Have,
10,AFV-252,Define project scope document,Finalize scope and deliverables.,story,high,todo,3,6.0514043327380165,Should Have,
11,AFV-251,Requirement gathering workshops,Conduct stakeholder workshops.,story,high,todo,3,5.845082625309207,Must Have,
12,AFV-257,Create initial product backlog,Break down requirements into stories.,story,high,todo,3,5.115047441295113,Should Have,
13,AFV-249,Payment & Checkout Optimization Epic,Enhance payment reliability and checkout performance.,story,high,todo,3,4.957966453856716,Could Have,
14,AFV-247,User Authentication & Security Epic,"Complete authentication system including OAuth2, rate limiting, and security scans.",story,high,todo,3,4.794394268535689,Could Have,
15,AFV-270,User feedback module,Add in-app feedback and sentiment pipeline.,story,high,todo,3,4.624951314155932,Could Have,
