priority_rank,id,name,description,issue_type,priority,status,WSJF,moscow_category,assignee
1,AGS-70,Payment gateway timeout issue,Timeout errors during payment processing.,bug,high,todo,8.005084876164453,Must Have,
2,AGS-71,OAuth token refresh failure,Token not refreshing properly.,bug,high,todo,6.838045575505361,Must Have,
3,AGS-76,Feedback form submission failure,500 error during submission.,bug,high,todo,6.690785902185863,Must Have,
4,AGS-69,Login form validation error,Empty password submission causes backend error.,bug,high,todo,6.6180312630504305,Must Have,
5,AGS-77,Checkout discount calculation error,Incorrect discount applied.,bug,high,todo,6.586877666066513,Must Have,
6,AGS-72,Dashboard data mismatch,Incorrect totals displayed.,bug,medium,todo,6.041111970287964,Must Have,
7,AGS-74,Slow database query on reports,Report generation performance issue.,bug,high,todo,5.262960348044487,Should Have,
8,AGS-78,CI/CD deployment script failure,Pipeline fails during build.,bug,medium,todo,6.407572783798822,Should Have,
9,AGS-73,Push notifications delayed,Notifications delayed significantly.,bug,medium,todo,4.686552908007755,Should Have,
10,AGS-75,Accessibility contrast issue,Text contrast fails WCAG.,bug,low,todo,2.245831526935522,Could Have,
11,AGS-85,Environment setup (Dev/Staging),Provision dev and staging environments.,change,high,todo,2.185845244824429,Should Have,
12,AGS-20,CI/CD Pipeline Modernization Feature,Refactor pipeline for microservices with parallel jobs.,feature,high,todo,2.0886880586900007,Should Have,
13,AGS-49,CI/CD Pipeline Modernization Feature,Refactor pipeline for microservices with parallel jobs.,story,high,todo,2.0886880586900007,Should Have,
14,AGS-67,Refactor CI/CD pipeline for microservices,Improve deployment speed.,change,high,todo,2.0617907925699366,Should Have,
15,AGS-79,Project kickoff meeting preparation,Prepare agenda and stakeholder overview.,change,high,todo,1.9826701724643658,Won't Have (This Sprint),
